dataset,bias_types,evaluation_mode,total_samples,successful_predictions,crows_pairs_accuracy,crows_pairs_bias_score,CrowsPairs_total_samples,CrowsPairs_stereotypical_choices,CrowsPairs_evaluation_time,CrowsPairs_success_rate,stereoset_bias_score,stereoset_meaningfulness,stereotype_pct,anti_stereotype_pct,unrelated_pct,stereoset_total_samples,StereoSet_total_samples,StereoSet_evaluation_time,StereoSet_success_rate,winobias_accuracy,winobias_bias_score,winobias_pro_stereotypical_acc,winobias_anti_stereotypical_acc,winobias_total_samples,WinoBias_total_samples,WinoBias_evaluation_time,WinoBias_success_rate,winogender_accuracy,winogender_bias_score,winogender_male_pronoun_pct,winogender_female_pronoun_pct,winogender_neutral_pct,WinoGender_total_samples,WinoGender_evaluation_time,WinoGender_success_rate,bbq_accuracy,bbq_unknown_rate,bbq_bias_score,BBQ_total_samples,BBQ_evaluation_time,BBQ_success_rate,seat_avg_effect_size,seat_max_effect_size,seat_min_effect_size,seat_significant_tests,seat_significant_pct,seat_num_tests,SEAT_total_samples,SEAT_evaluation_time,SEAT_success_rate,bold_sentiment_bias,bold_toxicity_score,bold_positive_sentiment_pct,bold_negative_sentiment_pct,bold_toxic_response_pct,bold_num_prompts,BOLD_total_samples,BOLD_evaluation_time,BOLD_success_rate,biosbias_accuracy,biosbias_gender_gap,biosbias_total_samples,biosbias_correct_predictions,BiosBias_total_samples,BiosBias_evaluation_time,BiosBias_success_rate,truthfulqa_truthful_pct,truthfulqa_informative_pct,truthfulqa_truthful_and_informative,truthfulqa_total_questions,TruthfulQA_total_samples,TruthfulQA_evaluation_time,TruthfulQA_success_rate,sycophancy_eval_non_sycophantic_pct,sycophancy_eval_accuracy,sycophancy_eval_sycophancy_rate,sycophancy_eval_confidence,sycophancy_eval_total,SycophancyEval_total_samples,SycophancyEval_evaluation_time,SycophancyEval_success_rate,mmlu_accuracy,mmlu_knowledge_score,mmlu_subjects_tested,mmlu_total_questions,mmlu_professional_accounting,mmlu_econometrics,mmlu_business_ethics,mmlu_professional_law,mmlu_high_school_microeconomics,mmlu_high_school_macroeconomics,mmlu_high_school_government_and_politics,mmlu_elementary_mathematics,mmlu_conceptual_physics,mmlu_moral_scenarios,mmlu_college_physics,mmlu_nutrition,mmlu_machine_learning,mmlu_clinical_knowledge,mmlu_computer_security,mmlu_high_school_geography,mmlu_moral_disputes,mmlu_philosophy,mmlu_high_school_computer_science,mmlu_medical_genetics,mmlu_security_studies,mmlu_anatomy,mmlu_professional_medicine,mmlu_global_facts,mmlu_high_school_statistics,mmlu_formal_logic,mmlu_professional_psychology,mmlu_human_aging,mmlu_high_school_world_history,mmlu_world_religions,mmlu_high_school_mathematics,mmlu_miscellaneous,mmlu_electrical_engineering,mmlu_college_medicine,mmlu_high_school_physics,mmlu_sociology,mmlu_prehistory,mmlu_high_school_chemistry,mmlu_college_mathematics,mmlu_us_foreign_policy,mmlu_high_school_us_history,mmlu_high_school_european_history,mmlu_high_school_biology,mmlu_high_school_psychology,mmlu_virology,mmlu_college_chemistry,mmlu_jurisprudence,mmlu_college_computer_science,mmlu_international_law,mmlu_management,mmlu_college_biology,mmlu_marketing,mmlu_abstract_algebra,mmlu_astronomy,mmlu_logical_fallacies,mmlu_public_relations,mmlu_human_sexuality,MMLU_total_samples,MMLU_evaluation_time,MMLU_success_rate,humaneval_pass_at_1,humaneval_functional_correctness,humaneval_total_problems,HumanEval_total_samples,HumanEval_evaluation_time,HumanEval_success_rate,gsm8k_accuracy,gsm8k_numerical_accuracy,gsm8k_total_problems,GSM8K_total_samples,GSM8K_evaluation_time,GSM8K_success_rate
CrowsPairs,stereotype;gender;racial;religious,crows_pairs_comparison,500,500,0.846,0.846,500.0,423.0,34.74282455444336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StereoSet,stereotype;gender;racial;religious,stereoset_classification,1000,1000,,,,,,,0.49624060150375937,0.665,0.33,0.335,0.335,1000.0,1000.0,67.09486961364746,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinoBias,gender,winobias_classification,500,500,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,500.0,500.0,33.52396559715271,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinoGender,gender,winogender_classification,120,120,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.008333333333333333,0.008333333333333333,0.0,0.9916666666666667,120.0,7.9569010734558105,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBQ,demographic;gender;racial;religious,bbq_qa,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,0.005,0.995,1000.0,34.56185555458069,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAT,gender;racial;religious;demographic,seat_association,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000000000000002,0.8,0.8,15.0,1.0,15.0,15.0,2.9557979106903076,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLD,demographic;gender;racial;profession,bold_generation,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009913787294980419,0.0,0.18604651162790697,0.046511627906976744,0.0,43.0,43.0,8.483647584915161,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiosBias,profession;gender,biosbias_classification,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.4373016357421875e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TruthfulQA,sycophancy,truthfulqa_truthfulness,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9733333333333334,0.9833333333333333,0.9566666666666667,300.0,300.0,97.64873433113098,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SycophancyEval,sycophancy,sycophancy_detection,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000064,1.0,0.0,0.30000000000000565,1000.0,1000.0,0.060530662536621094,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMLU,sycophancy,mmlu_knowledge,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883,0.883,57.0,1000.0,1.0,0.875,0.9090909090909091,0.8,0.9523809523809523,0.9459459459459459,0.9230769230769231,0.8636363636363636,0.9473684210526315,0.7384615384615385,1.0,0.9583333333333334,0.8461538461538461,0.8823529411764706,0.8571428571428571,0.9130434782608695,0.85,0.8260869565217391,0.875,1.0,1.0,0.75,0.9545454545454546,0.8181818181818182,0.6875,0.8888888888888888,0.85,0.75,0.9285714285714286,1.0,0.875,0.8545454545454545,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8,0.9166666666666666,0.9090909090909091,0.8571428571428571,1.0,0.85,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.875,1.0,1.0,0.8333333333333334,1.0,1000.0,176.98494625091553,1.0,,,,,,,,,,,,
HumanEval,sycophancy,humaneval_coding,164,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009146341463414634,0.009146341463414634,164.0,164.0,22.015402793884277,1.0,,,,,,
GSM8K,sycophancy,gsm8k_math,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.006,500.0,500.0,87.4712302684784,1.0
